model,task,auroc,auprc,brier,logloss,accuracy,f1_pos,f1_macro,pos_rate,mean_proba,train_accuracy_05,test_accuracy_05,train_f1_pos_05,test_f1_pos_05,baseline_accuracy,baseline_f1_pos,baseline_f1_macro,best_thr_f1,best_thr_f1_precision,best_thr_f1_recall,best_thr_f1_f1,thr_recall80,thr_recall80_precision,thr_recall80_recall,thr_recall80_f1,mae,r2
LightGBM_cal,readmission_30d,0.6601362275964086,0.09679387162408623,0.051502063731548975,0.2100594270399053,0.9453333333333334,0.0,0.4859492803289925,0.05466666666666667,0.054356377579774906,1.0,0.9453333333333334,1.0,0.0,0.9453333333333334,0.0,0.4859492803289925,0.053,0.09703504043126684,0.43902439024390244,0.15894039735099338,0.05,0.05578512396694215,0.9878048780487805,0.10560625814863103,,
XGBoost_cal,readmission_30d,0.6630001032027246,0.09854500891567029,0.05101163577207308,0.20573761993318984,0.9453333333333334,0.0,0.4859492803289925,0.05466666666666667,0.053696709362168485,0.9462352941176471,0.9453333333333334,0.0,0.0,0.9453333333333334,0.0,0.4859492803289925,0.063,0.1099290780141844,0.3780487804878049,0.17032967032967034,0.045,0.08138101109741061,0.8048780487804879,0.14781634938409854,,
SVM_cal,readmission_30d,0.6463414634146342,0.09122196755852123,0.051089796268747004,0.20643263177693377,0.9453333333333334,0.0,0.4859492803289925,0.05466666666666667,0.05381233752998244,0.9462352941176471,0.9453333333333334,0.0,0.0,0.9453333333333334,0.0,0.4859492803289925,0.06,0.10135135135135136,0.5487804878048781,0.17110266159695817,0.043000000000000003,0.06740442655935613,0.8170731707317073,0.12453531598513011,,
LightGBM_cal,complication_90d,0.6505574400311243,0.06990530352347886,0.03675755133409939,0.16156515330014065,0.9613333333333334,0.0,0.49014276002719237,0.038,0.04500132638725483,1.0,0.9613333333333334,1.0,0.0,0.962,0.0,0.49031600407747195,0.046,0.09316770186335403,0.2631578947368421,0.13761467889908258,0.042,0.038,1.0,0.07321772639691715,,
XGBoost_cal,complication_90d,0.6188617767565135,0.08133903905987207,0.03612681177800556,0.15761559436000797,0.962,0.0,0.49031600407747195,0.038,0.04456866357963944,0.9551764705882353,0.962,0.0,0.0,0.962,0.0,0.49031600407747195,0.077,0.14102564102564102,0.19298245614035087,0.16296296296296298,0.035,0.044061302681992334,0.8070175438596491,0.08356039963669391,,
SVM_cal,complication_90d,0.6634326634326634,0.08548033754168825,0.03607466349248952,0.1563891439740329,0.962,0.0,0.49031600407747195,0.038,0.04447651506981568,0.9551764705882353,0.962,0.0,0.0,0.962,0.0,0.49031600407747195,0.075,0.1518987341772152,0.21052631578947367,0.17647058823529413,0.037,0.0499457111834962,0.8070175438596491,0.09406952965235174,,
LightGBM_cal,any_def_12m,0.9137279210154519,0.9408190669009069,0.11835873691348735,0.3806771064605455,0.834,0.865186789388197,0.8246142099586258,0.606,0.6058488977274633,0.9922352941176471,0.834,0.993599689681924,0.865186789388197,0.606,0.7546699875466999,0.37733499377334995,0.47200000000000003,0.845350052246604,0.88998899889989,0.8670953912111469,0.725,0.9043478260869565,0.8008800880088008,0.8494749124854143,,
XGBoost_cal,any_def_12m,0.9152245173755954,0.9401627349940065,0.11509759516628992,0.37046451730121693,0.842,0.8695652173913043,0.8346135469881288,0.606,0.6076360207286218,0.9105882352941177,0.842,0.9260987942434851,0.8695652173913043,0.606,0.7546699875466999,0.37733499377334995,0.403,0.8415132924335378,0.9053905390539054,0.8722840487546369,0.685,0.9054726368159204,0.8008800880088008,0.8499708114419148,,
SVM_cal,any_def_12m,0.8911300605525866,0.9255396414300707,0.1300744924955262,0.40511302703821517,0.8046666666666666,0.8427267847557702,0.7925155471712009,0.606,0.6048889723736808,0.8663529411764705,0.8046666666666666,0.8904532304725169,0.8427267847557702,0.606,0.7546699875466999,0.37733499377334995,0.423,0.8058823529411765,0.9042904290429042,0.8522550544323484,0.598,0.8687350835322196,0.8008800880088008,0.8334287349742415,,
LightGBM,twl_12m,,,,,,,,,,,,,,,,,,,,,,,,,0.025339376986940266,0.259142689277051
XGBoost,twl_12m,,,,,,,,,,,,,,,,,,,,,,,,,0.024991504672429433,0.27214820772441506
